DXCC	Pattern	Name	EntityCode
1S	1S;9M0	Spratly Is.	247
1A	1A	Sovereign Military Order of Malta	246
3A	3A	Monaco	260
3B6	3B[6-7]	Agalega & St. Brandon Is.	4
3B8	3B8	Mauritius	165
3B9	3B9	Rodrigues I.	207
3C	3C	Equatorial Guinea	49
3C0	3C0	Annobon I.	195
3D2	3D2	Fiji	176
3D2_C	3D2	Conway Reef	489
3D2_R	3D2	Rotuma I.	460
3DA	3DA	Swaziland	468
3V	3V	Tunisia	474
3W	3W;XV	Viet Nam	293
3X	3X	Guinea	107
3Y_B	3Y	Bouvet	24
3Y_P	3Y	Peter 1 I.	199
4J	4J	Azerbaijan	18
4L	4L	Georgia	75
4O	4O	Montenegro	514
4S	4S	Sri Lanka	315
4U_ITU	4U	ITU HQ	117
4U_UN	4U	United Nations HQ	289
4W	4W	Timor-Leste	511
4X	4X	Israel	336
5A	5A	Libya	436
5B	5B;C4;P3	Cyprus	215
5H	5[H-I]	Tanzania	470
5N	5N	Nigeria	450
5R	5R	Madagascar	438
5T	5T	Mauritania	444
5U	5U	Niger	187
5V	5V	Togo	483
5W	5W	Samoa	190
5X	5X	Uganda	286
5Y	5[Y-Z]	Kenya	430
6V	6[V-W]	Senegal	456
6Y	6Y	Jamaica	82
7O	7O	Yemen	492
7P	7P	Lesotho	432
7Q	7Q	Malawi	440
7X	7[T-Y]	Algeria	400
8P	8P	Barbados	62
8Q	8Q	Maldives	159
8R	8R	Guyana	129
9A	9A	Croatia	497
9G	9G	Ghana	424
9H	9H	Malta	257
9J	9[I-J]	Zambia	482
9K	9K	Kuwait	348
9L	9L	Sierra Leone	458
9M2	9M[2,4]	West Malaysia	299
9M6	9M[6,8]	East Malaysia	46
9N	9N	Nepal	369
9Q	9[Q-T]	Democratic Republic of the Congo	414
9U	9U	Burundi	404
9V	9V	Singapore	381
9X	9X	Rwanda	454
9Y	9[Y-Z]	Trinidad & Tobago	90
A2	A2	Botswana	402
A3	A3	Tonga	160
A4	A4	Oman	370
A5	A5	Bhutan	306
A6	A6	United Arab Emirates	391
A7	A7	Qatar	376
A9	A9	Bahrain	304
AP	AP	Pakistan	372
BY	B[A-L];B[R-T];B[Y-Z]	China	318
BS7	BS7	Scarborough Reef	506
BV	B[M-Q];B[U-X]	Taiwan	386
BV9P	BV9P	Pratas I.	505
C2	C2	Nauru	157
C3	C3	Andorra	203
C5	C5	The Gambia	422
C6	C6	Bahamas	60
C9	C[8-9]	Mozambique	181
CE	C[A-E]	Chile	112
CE0X	CE0	Easter I.	47
CE0Y	CE0	Juan Fernandez Is.	125
CE0Z	CE0	San Felix & San Ambrosio	217
CE9	CE9;KC4	Antarctica	13
CO	C[L,M];CO	Cuba	70
CN	CN	Morocco	446
CP	CP	Bolivia	104
CT	CT	Portugal	272
CT3	CT3	Madeira Is.	256
CU	CU	Azores	149
