Digit,Code,よみ
6,010101,ちゅうおう
6,010102,きた
6,010103,ひがし
6,010104,しろいし
6,010105,とよひら
6,010106,みなみ
6,010107,にし
6,010108,あつべつ
6,010109,ていね
6,010110,きよた
6,060101,あおば
6,060102,みやぎの
6,060103,わかばやし
6,060104,たいはく
6,060105,いずみ
6,080101,きた
6,080102,ひがし
6,080103,ちゅうおう
6,080104,こなん
6,080105,あきは
6,080106,みなみ
6,080107,にし
6,080108,にしかん
6,110101,つるみ
6,110102,かながわ
6,110103,にし
6,110104,なか
6,110105,みなみ
6,110106,ほどがや
6,110107,いそご
6,110108,かなざわ
6,110109,こほく
6,110110,とつか
6,110111,こなん
6,110112,あさひ
6,110113,みどり
6,110114,せや
6,110115,さかえ
6,110116,いずみ
6,110117,あおば
6,110118,つずき
6,110301,かわさき
6,110302,さいわい
6,110303,なかはら
6,110304,たかつ
6,110305,たま
6,110306,みやまえ
6,110307,あさお
6,111001,みどり
6,111002,ちゅうおう
6,111003,みなみ
6,120101,ちゅうおう
6,120102,はなみがわ
6,120103,いなげ
6,120104,わかば
6,120105,みどり
6,120106,みはま
6,134401,にし
6,134402,きた
6,134403,おみや
6,134404,みぬま
6,134405,ちゅうおう
6,134406,さくら
6,134407,うらわ
6,134408,みなみ
6,134409,みどり
6,134410,いわつき
6,180101,あおい
6,180102,するが
6,180103,しみず
6,180201,なか
6,180202,ひがし
6,180203,にし
6,180204,みなみ
6,180205,きた
6,180206,はまきた
6,180207,てんりゅ
6,200101,ちくさ
6,200102,ひがし
6,200103,きた
6,200104,にし
6,200105,なかむら
6,200106,なか
6,200107,しょわ
6,200108,みずほ
6,200109,あつた
6,200110,なかがわ
6,200111,みなと
6,200112,みなみ
6,200113,もりやま
6,200114,みどり
6,200115,めいと
6,200116,てんぱく
6,220101,きた
6,220102,かみぎょ
6,220103,さきょ
6,220104,なかぎょ
6,220105,ひがしやま
6,220106,しもぎょ
6,220107,みなみ
6,220108,うきょ
6,220109,ふしみ
6,220110,やましな
6,220111,にしきょ
6,250101,きた
6,250102,みやこじま
6,250103,ふくしま
6,250104,このはな
6,250105,※ひがし
6,250106,にし
6,250107,みなと
6,250108,たいしょ
6,250109,てんおじ
6,250110,※みなみ
6,250111,なにわ
6,250112,※およど
6,250113,にしよどがわ
6,250114,ひがしよどが
6,250115,ひがしなり
6,250116,いくの
6,250117,あさひ
6,250118,じょと
6,250119,あべの
6,250120,すみよし
6,250121,ひがしすみよ
6,250122,にしなり
6,250123,よどがわ
6,250124,つるみ
6,250125,すみのえ
6,250126,ひらの
6,250127,ちゅうおう
6,250201,さかい
6,250202,なか
6,250203,ひがし
6,250204,にし
6,250205,みなみ
6,250206,きた
6,250207,みはら
6,270101,ひがしなだ
6,270102,なだ
6,270103,ひょご
6,270104,ながた
6,270105,すま
6,270106,たるみ
6,270107,きた
6,270108,ちゅうおう
6,270109,にし
6,270110,※ふきあい
6,270111,※いくた
6,310101,きた
6,310102,なか
6,310103,ひながし
6,310104,みなみ
6,350101,なか
6,350102,ひがし
6,350103,みなみ
6,350104,にし
6,350105,あさみなみ
6,350106,あさきた
6,350107,あき
6,350108,さえき
6,400101,ひがし
6,400102,はかた
6,400103,ちゅうおう
6,400104,みなみ
6,400105,にし
6,400106,じょなん
6,400107,さわら
6,402101,もじ
6,402102,わかまつ
6,402103,とばた
6,402104,こくらきた
6,402105,こくらみなみ
6,402106,やはたひがし
6,402107,やはたにし
6,402108,※やはた
6,402109,※こくら
6,430101,ちゅうおう
6,430102,ひがし
6,430103,にし
6,430104,みなみ
6,430105,きた
4,0101,さっぽろ
4,0102,あさひかわ
4,0103,おたる
4,0104,はこだて
4,0105,むろらん
4,0106,くしろ
4,0107,おびひろ
4,0108,きたみ
4,0109,ゆばり
4,0110,いわみざわ
4,0111,あばしり
4,0112,るもい
4,0113,とまこまい
4,0114,わっかない
4,0115,びばい
4,0116,あしべつ
4,0117,えべつ
4,0118,あかびら
4,0119,もmべつ
4,0120,しべつ
4,0121,なよろ
